trip_id,stop_id,stop_sequence,arrival_time,departure_time
T_M1_0,S_DUOMO,1,05:30:00,05:30:30
T_M1_0,S_CORDUSIO,2,05:32:00,05:32:30
T_M1_0,S_CAIROLI,3,05:34:00,05:34:30
T_M1_0,S_CADORNA,4,05:36:00,05:36:30
T_M1_0,S_PAGANO,5,05:38:00,05:38:30
T_M1_0,S_AMENDOLA,6,05:40:00,05:40:30
T_M1_0,S_BUONARROTI,7,05:42:00,05:42:30
T_M1_0,S_DEANGELI,8,05:44:00,05:44:00
T_M1_1,S_DEANGELI,1,05:33:00,05:33:30
T_M1_1,S_BUONARROTI,2,05:35:00,05:35:30
T_M1_1,S_AMENDOLA,3,05:37:00,05:37:30
T_M1_1,S_PAGANO,4,05:39:00,05:39:30
T_M1_1,S_CADORNA,5,05:41:00,05:41:30
T_M1_1,S_CAIROLI,6,05:43:00,05:43:30
T_M1_1,S_CORDUSIO,7,05:45:00,05:45:30
T_M1_1,S_DUOMO,8,05:47:00,05:47:00
T_M1_2,S_DUOMO,1,05:36:00,05:36:30
T_M1_2,S_CORDUSIO,2,05:38:00,05:38:30
T_M1_2,S_CAIROLI,3,05:40:00,05:40:30
T_M1_2,S_CADORNA,4,05:42:00,05:42:30
T_M1_2,S_PAGANO,5,05:44:00,05:44:30
T_M1_2,S_AMENDOLA,6,05:46:00,05:46:30
T_M1_2,S_BUONARROTI,7,05:48:00,05:48:30
T_M1_2,S_DEANGELI,8,05:50:00,05:50:00
T_M1_3,S_DEANGELI,1,05:39:00,05:39:30
T_M1_3,S_BUONARROTI,2,05:41:00,05:41:30
T_M1_3,S_AMENDOLA,3,05:43:00,05:43:30
T_M1_3,S_PAGANO,4,05:45:00,05:45:30
T_M1_3,S_CADORNA,5,05:47:00,05:47:30
T_M1_3,S_CAIROLI,6,05:49:00,05:49:30
T_M1_3,S_CORDUSIO,7,05:51:00,05:51:30
T_M1_3,S_DUOMO,8,05:53:00,05:53:00
T_M1_4,S_DUOMO,1,05:42:00,05:42:30
T_M1_4,S_CORDUSIO,2,05:44:00,05:44:30
T_M1_4,S_CAIROLI,3,05:46:00,05:46:30
T_M1_4,S_CADORNA,4,05:48:00,05:48:30
T_M1_4,S_PAGANO,5,05:50:00,05:50:30
T_M1_4,S_AMENDOLA,6,05:52:00,05:52:30
T_M1_4,S_BUONARROTI,7,05:54:00,05:54:30
T_M1_4,S_DEANGELI,8,05:56:00,05:56:00
T_M1_5,S_DEANGELI,1,05:45:00,05:45:30
T_M1_5,S_BUONARROTI,2,05:47:00,05:47:30
T_M1_5,S_AMENDOLA,3,05:49:00,05:49:30
