trip_id,route_id,service_id,trip_headsign,direction_id
T_M1_0,R_M1,S_FERIALE,De Angeli,0
T_M1_1,R_M1,S_FERIALE,Duomo,1
T_M1_2,R_M1,S_FERIALE,De Angeli,0
T_M1_3,R_M1,S_FERIALE,Duomo,1
T_M1_4,R_M1,S_FERIALE,De Angeli,0
T_M1_5,R_M1,S_FERIALE,Duomo,1
T_M1_6,R_M1,S_FERIALE,De Angeli,0
T_M1_7,R_M1,S_FERIALE,Duomo,1
T_M1_8,R_M1,S_FERIALE,De Angeli,0
T_M1_9,R_M1,S_FERIALE,Duomo,1
T_M1_10,R_M1,S_FERIALE,De Angeli,0
T_M1_11,R_M1,S_FERIALE,Duomo,1
T_M1_12,R_M1,S_FERIALE,De Angeli,0
T_M1_13,R_M1,S_FERIALE,Duomo,1
T_M1_14,R_M1,S_FERIALE,De Angeli,0
T_M1_15,R_M1,S_FERIALE,Duomo,1
T_M1_16,R_M1,S_FERIALE,De Angeli,0
T_M1_17,R_M1,S_FERIALE,Duomo,1
T_M1_18,R_M1,S_FERIALE,De Angeli,0
T_M1_19,R_M1,S_FERIALE,Duomo,1
T_M1_20,R_M1,S_FERIALE,De Angeli,0
T_M1_21,R_M1,S_FERIALE,Duomo,1
T_M1_22,R_M1,S_FERIALE,De Angeli,0
T_M1_23,R_M1,S_FERIALE,Duomo,1
T_M1_24,R_M1,S_FERIALE,De Angeli,0
T_M1_25,R_M1,S_FERIALE,Duomo,1
T_M1_26,R_M1,S_FERIALE,De Angeli,0
T_M1_27,R_M1,S_FERIALE,Duomo,1
T_M1_28,R_M1,S_FERIALE,De Angeli,0
T_M1_29,R_M1,S_FERIALE,Duomo,1
T_M1_30,R_M1,S_FERIALE,De Angeli,0
T_M1_31,R_M1,S_FERIALE,Duomo,1
T_M1_32,R_M1,S_FERIALE,De Angeli,0
T_M1_33,R_M1,S_FERIALE,Duomo,1
T_M1_34,R_M1,S_FERIALE,De Angeli,0
T_M1_35,R_M1,S_FERIALE,Duomo,1
T_M1_36,R_M1,S_FERIALE,De Angeli,0
T_M1_37,R_M1,S_FERIALE,Duomo,1
T_M1_38,R_M1,S_FERIALE,De Angeli,0
T_M1_39,R_M1,S_FERIALE,Duomo,1
T_M1_40,R_M1,S_FERIALE,De Angeli,0
T_M1_41,R_M1,S_FERIALE,Duomo,1
T_M1_42,R_M1,S_FERIALE,De Angeli,0
T_M1_43,R_M1,S_FERIALE,Duomo,1
T_M1_44,R_M1,S_FERIALE,De Angeli,0
T_M1_45,R_M1,S_FERIALE,Duomo,1
T_M1_46,R_M1,S_FERIALE,De Angeli,0
T_M1_47,R_M1,S_FERIALE,Duomo,1
T_M1_48,R_M1,S_FERIALE,De Angeli,0
T_M1_49,R_M1,S_FERIALE,Duomo,1
T_M1_50,R_M1,S_FERIALE,De Angeli,0
T_M1_51,R_M1,S_FERIALE,Duomo,1
T_M1_52,R_M1,S_FERIALE,De Angeli,0
T_M1_53,R_M1,S_FERIALE,Duomo,1
T_M1_54,R_M1,S_FERIALE,De Angeli,0
T_M1_55,R_M1,S_FERIALE,Duomo,1
T_M1_56,R_M1,S_FERIALE,De Angeli,0
T_M1_57,R_M1,S_FERIALE,Duomo,1
T_M1_58,R_M1,S_FERIALE,De Angeli,0
T_M1_59,R_M1,S_FERIALE,Duomo,1
T_M1_60,R_M1,S_FERIALE,De Angeli,0
T_M1_61,R_M1,S_FERIALE,Duomo,1
T_M1_62,R_M1,S_FERIALE,De Angeli,0
T_M1_63,R_M1,S_FERIALE,Duomo,1
T_M1_64,R_M1,S_FERIALE,De Angeli,0
T_M1_65,R_M1,S_FERIALE,Duomo,1
T_M1_66,R_M1,S_FERIALE,De Angeli,0
T_M1_67,R_M1,S_FERIALE,Duomo,1
T_M1_68,R_M1,S_FERIALE,De Angeli,0
T_M1_69,R_M1,S_FERIALE,Duomo,1
T_M1_70,R_M1,S_FERIALE,De Angeli,0
T_M1_71,R_M1,S_FERIALE,Duomo,1
T_M1_72,R_M1,S_FERIALE,De Angeli,0
T_M1_73,R_M1,S_FERIALE,Duomo,1
T_M1_74,R_M1,S_FERIALE,De Angeli,0
T_M1_75,R_M1,S_FERIALE,Duomo,1
